"Soil_Data_ID","Event_ID","Date_SoilCollected","Sampling_Position","Earthworms","Sample_Type","Horizon_Type","Notes","Archived","Created_By","Created_Date","Updated_By","Updated_Date"
"89579B2A-AE5D-4D93-AF26-38BCBF032290","C35C2A56-9BF5-4027-B1FE-C167301FBE10",2012-08-28,"S2",NA,1,3,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2012-08-28 08:01:19,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2012-08-28 12:02:53
"89CAF7D6-0B70-4503-987E-AAACC96EC29E","3DF9BCC8-0E2C-4ADF-9F9B-721680584F68",NA,NA,NA,NA,NA,"No soils collected at COLO",FALSE,NA,2013-08-12 13:56:50,NA,2013-08-12 13:56:50
"89E7A798-2C39-4651-B75F-7C81BACF5F97","5CA310D7-B7BA-4B15-9485-188608736E32",2012-08-07,"S2",NA,1,3,NA,FALSE,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-07 07:54:30,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-08-07 12:51:11
"8A3FD9D0-C140-4F5A-91D2-DAB9373FBAAF","4E86092A-620A-454D-AF4D-08003B1FB648",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{85BD76BF-62E9-4003-9462-674AC570ABDD}",2019-08-06 09:23:07,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2020-01-23 15:18:03
"8A54B271-07D6-476C-80EA-FE0CEE9A8667","7726103B-73D6-4FA9-B228-C2A55372FDB9",2019-11-25,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-11-25 16:01:01,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-11-25 16:01:03
"8B2D5313-51A4-491A-B3D1-F849A11E9A81","4C8C6E0E-2154-4972-961C-D6840B0B6B6C",2013-09-09,"S2",NA,1,1,NA,FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2013-09-09 08:54:18,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2013-09-09 12:09:50
"8C4C0E2D-9C0F-4755-8DDE-2EE690F30415","5C94B07F-90F0-473E-9C48-6E127F4381FF",2011-09-07,"S2",NA,1,1,NA,FALSE,"{C00EB408-AAB3-4F31-9E83-10944135BE7F}",2011-09-07 14:03:41,"{C00EB408-AAB3-4F31-9E83-10944135BE7F}",2011-09-07 14:09:37
"8D4B9534-586D-46A0-82DB-65F2957C4F0F","C2C43904-F962-4C04-B82C-684B9D2D6A2B",2013-08-22,"S2",NA,1,1,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-08-22 14:43:50,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-09-16 13:09:33
"8D695312-1906-47B8-8046-D806AB67D118","BB9E3C1B-4F8B-4969-B848-AE310BF49B6C",NA,NA,NA,NA,NA,"No soils collected at COLO",FALSE,NA,2011-10-04 09:24:08,NA,2011-10-04 09:24:08
"8DE83333-BD17-4C0B-A7AE-7E2ABA8010B6","93FFD73B-B98C-42C5-9405-173C7FB753A0",NA,NA,NA,NA,NA,"Soils not collected at Deer Plots",FALSE,NA,2011-09-26 15:42:52,NA,2011-09-26 15:42:52
"8DEB195B-ABFC-4F8E-892B-B83D4DA25B54","7625D656-17BF-4427-8A2D-0A5E04B6F469",2012-09-05,"S2",NA,1,3,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2012-09-05 12:25:49,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2012-09-05 15:16:07
"8E3CC4E2-75E0-444A-BA4C-540CE89E1723","7992CA5F-B7C4-4740-A5BD-067625695C38",2019-08-14,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{85BD76BF-62E9-4003-9462-674AC570ABDD}",2019-08-14 08:57:32,"{85BD76BF-62E9-4003-9462-674AC570ABDD}",2019-08-14 10:15:19
"8EA47D75-1E10-40D8-BC58-B2032F61837D","80D20B20-8043-4CC3-9208-9C67AFDCA36D",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{85BD76BF-62E9-4003-9462-674AC570ABDD}",2019-07-16 13:33:57,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2020-04-01 15:59:36
"8EBA9E85-1D31-462D-B3F2-5C0BF4CD71FC","BD473950-9DA6-42DC-AE8F-A682303409BB",2019-11-21,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-11-21 14:56:21,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2020-01-23 09:49:37
"8FBFAE6E-806E-4C04-BB2B-E60A3C0FFA9C","9D0E8166-4435-44EE-B1C0-EC23D97F4EF8",2012-09-11,"S2",NA,1,1,NA,FALSE,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-09-11 08:17:43,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2012-09-11 09:40:57
"90F3B426-BB4A-4325-BC93-C206F52CE96D","D305A994-6C1D-4B78-ADE1-4931E53C159D",2011-06-07,"S1",NA,1,3,NA,FALSE,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-23 14:47:35,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-23 14:56:41
"91279C25-50B9-4536-80FB-EC3D77BFAFFD","9D0A7BFE-D989-412A-A211-74F7C28C2AC0",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{A27B3D5E-02FF-4045-90AA-D36F564E01DC}",2019-08-27 07:42:28,"{A27B3D5E-02FF-4045-90AA-D36F564E01DC}",2019-08-27 10:19:34
"91622A54-D483-4C1E-A882-5FADBC990707","6B889AA5-022F-406C-9F06-7F72DD8CD0A1",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{A27B3D5E-02FF-4045-90AA-D36F564E01DC}",2019-07-30 11:17:39,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-11-01 09:41:41
"91A9C46A-3A35-4F3A-B4A9-DEECEB91AC2D","D7E0BD66-5286-4C4F-8A2D-B7D21445808B",2011-06-07,"A1",NA,1,1,"used alternate location due to S1 being on trail",FALSE,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 11:08:20,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 11:11:49
"922ACC82-3ED0-4853-B0F6-574A89E2B1F0","53F20B09-C9F1-454A-9867-5FE30B31B743",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{F6CEB8C1-5112-4897-BA31-ACA72F50C22F}",2019-07-31 08:34:45,"{85BD76BF-62E9-4003-9462-674AC570ABDD}",2019-09-04 16:58:39
"9290B81B-5E7C-41A2-B1DD-ADCD72E636FF","E8C693F3-BF8C-4967-85DE-0D2CE07CCF00",2011-09-06,"S2",NA,1,3,NA,FALSE,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2011-09-06 10:28:26,"{3AFB956E-C1CB-4CA0-A978-7797985DECF9}",2011-09-06 10:40:24
