"LabResult_ID","Soil_Data_ID","Unit_Code","Plot_Number","Sampling_Year","QA.QC","Layer","Date_SoilCollected","Date_Dry","UMO_Sample","soil.pH","X..LOI","X..TN","X..TC","Ca","K.Reported","K.Analysis","Mg","P.Reported","P.Analysis","Al.Reported","Al.Analysis","Fe.Reported","Fe.Analysis","Mn","Na.Reported","Na.Analysis","Zn.Reported","Zn.Analysis","acidity.Reported","acidity.Analysis","ECEC","Notes","Appended_Date","Appended_By"
"0FC9E1FF-920B-4558-91A6-31B4AB6FAD04","77932622-4CEE-4400-8BF9-A48AD346317E","FRSP_FRED","014","2011",FALSE,"A",2011-08-21,2011-08-27,"46",4.22,8.9,0.187,4.907,71.96,"77.18",77.18,37.48,"2.658",2.658,"218.8",218.8,"11.466",11.466,32.76,"5.742",5.742,"2.174",2.174,"3.564",3.564,4.45463388799427,NA,2012-04-10 00:00:00,NA
"0FFB7D05-C805-4601-96C7-12E8AE689510","55DC5B2D-2C0C-4C58-AC07-2854F9F70D13","HOFU","050","2012",FALSE,"10 cm",2012-08-01,2012-09-05,"86",5.4,12.7,0.43,6.35,1322,"190.6",191,218,"2.724",2.7,"13.772",14,"0.788",0.8,61,"8.994",9,"3.4",3.418,"0.5856",0.6,9.5,"Not collected 2011",2013-05-14 10:21:09,"Adam J Kozlowski"
"1033E962-0BEE-4E07-99D3-2C4FE768C3D7","AAA33822-95E4-4B88-BB4C-34AC58FFF4EA","FRSP","123","2012",FALSE,"A",2012-08-27,2012-09-17,"29",4.2,4.2,0.08,1.77,16,"35.28",35,16,"1.716",1.7,"195.32",195,"16.49",16,1.5,"4.794",4.8,"0.8",0.816,"5.2704",5.3,5.6,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"10AC0D4A-0C2A-43BC-9D54-440C4AF34EC9","645269DF-8208-4503-A356-AD961FDFB577","FRSP_FRED","054","2011",FALSE,"O",2011-08-22,2011-09-05,"48",3.47,76,1.357,40.19,875.5,"375.3",375.3,587,"51.75",51.75,"353.9",353.9,"57",57,40.035,"27.68",27.68,"22.27",22.27,"16.335",16.335,26.6239700935661,NA,2012-04-10 00:00:00,NA
"11025EA7-96FF-452D-9FE7-665FA2EC10DD","134D0656-619B-4BC7-8397-B1D71B089EDB","VAFO","038","2012",FALSE,"O",2012-08-01,2012-09-17,"131",3.9,40.4,0.97,20.6,1305,"149.45",149,204,"26.955",27,"511",511,"99.2",99,86,"21.245",21,"20",19.82,"13.176",13.2,21.9,"Not collected 2011",2013-05-14 10:21:09,"Adam J Kozlowski"
"1141E7B5-B534-49B1-86FC-9E574C3CE391","A0CFE4BF-5E87-462B-B1DF-97F3447E9BD2","FRSP_SPOT","318","2010",FALSE,"A",2010-09-22,2010-09-23,"102",3.88,4.1,0.0635,2.18,25.06,"20.2",20.2,8.66,"2.98",2.98,"88.7",88.7,"14.84",14.84,6.34,"3.52",3.52,"0.8",0.8,"1.98",1.98,NA,NA,2011-06-07 10:38:37,NA
"11C82CCA-032F-43F3-9285-C9380554176F","DC9C8321-4707-4455-B5CC-DF274E8DCED2","FRSP","124","2012",FALSE,"A",2012-08-27,2012-09-05,"31",4.4,5.8,0.09,2.4,15,"44.72",45,9.3,"1.832",1.8,"196.04",196,"12.924",13,5,"3.85",3.9,"0.7",0.696,"2.928",2.9,3.2,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"122FF0AF-5E58-485F-8D09-3E69B2500380","576B9C92-0EF4-4A43-8681-68E07E26D656","FRSP_CHWILD","045","2011",FALSE,"O",2011-08-23,2011-09-05,"20",3.91,28.4,0.6,15.44,311.8,"210.15",210.15,221.1,"24.405",24.405,"203.05",203.05,"61.9",61.9,28.575,"69.7",69.7,"15.245",15.245,"5.94",5.93999999999999,10.1592645953712,NA,2012-04-10 00:00:00,NA
"12FE505D-FBD7-441D-BFD5-B138B6CA0644","F6CC989D-9F84-49B4-BFC3-BBBADAB1DA5D","APCO","184","2013",FALSE,"A",2013-08-05,2013-08-26,"7",4.29,11.9,0.285,5.94,299.6,"119.7",119.7,75.08,"3.77",3.77,"182.46",182.46,"14.106",14.106,35.98,"6.054",6.054,"2.136",2.136,"4",4,6.44840223337859,NA,2014-11-27 07:42:43,"Jim A Comiskey"
"1378B110-FB25-49AA-90F6-8E33471D01D5","1E22D0E2-CA2C-4A93-837E-49CCE9F54279","APCO","108","2012",FALSE,"10 cm",2012-08-14,2012-09-27,"7",5.9,10.7,0.22,3.47,1219,"201",201,254,"2.526",2.5,"2.9",2.9,"2.968",3,23,"5.688",5.7,"1.9",1.882,"0.1952",0.2,8.9,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
